GameID,GameType,HomeTeam,AwayTeam,Date
385,Regular,Minnesota Timberwolves,New York Knicks,26-12-1996
386,Regular,Utah Jazz,Portland Trail Blazers,26-12-1996
387,Regular,Miami Heat,Orlando Magic,26-12-1996
388,Regular,Detroit Pistons,Indiana Pacers,26-12-1996
389,Regular,Denver Nuggets,Philadelphia 76ers,26-12-1996
390,Regular,Dallas Mavericks,Golden State Warriors,26-12-1996
391,Regular,Milwaukee Bucks,Houston Rockets,26-12-1996
392,Regular,Atlanta Hawks,Chicago Bulls,26-12-1996
393,Regular,Washington Bullets,Toronto Raptors,27-12-1996
394,Regular,New Jersey Nets,Indiana Pacers,27-12-1996
395,Regular,Cleveland Cavaliers,Milwaukee Bucks,27-12-1996
396,Regular,Los Angeles Clippers,Portland Trail Blazers,27-12-1996
397,Regular,Charlotte Hornets,Miami Heat,27-12-1996
398,Regular,Los Angeles Lakers,Boston Celtics,27-12-1996
399,Regular,Washington Bullets,Atlanta Hawks,28-12-1996
400,Regular,Vancouver Grizzlies,Phoenix Suns,28-12-1996
401,Regular,Utah Jazz,Philadelphia 76ers,28-12-1996
402,Regular,New York Knicks,Orlando Magic,28-12-1996
403,Regular,Sacramento Kings,Boston Celtics,28-12-1996
404,Regular,Houston Rockets,Golden State Warriors,28-12-1996
405,Regular,Detroit Pistons,Charlotte Hornets,28-12-1996
406,Regular,Dallas Mavericks,Seattle SuperSonics,28-12-1996
407,Regular,Chicago Bulls,Cleveland Cavaliers,28-12-1996
408,Regular,Minnesota Timberwolves,Denver Nuggets,28-12-1996
409,Regular,Los Angeles Lakers,Philadelphia 76ers,29-12-1996
410,Regular,Indiana Pacers,New Jersey Nets,29-12-1996
411,Regular,Milwaukee Bucks,Miami Heat,29-12-1996
412,Regular,Portland Trail Blazers,San Antonio Spurs,29-12-1996
413,Regular,Vancouver Grizzlies,San Antonio Spurs,30-12-1996
414,Regular,Phoenix Suns,Sacramento Kings,30-12-1996
415,Regular,New York Knicks,New Jersey Nets,30-12-1996
416,Regular,Los Angeles Clippers,Utah Jazz,30-12-1996
417,Regular,Washington Bullets,Charlotte Hornets,30-12-1996
418,Regular,Detroit Pistons,Orlando Magic,30-12-1996
419,Regular,Denver Nuggets,Boston Celtics,30-12-1996
420,Regular,Chicago Bulls,Indiana Pacers,30-12-1996
421,Regular,Houston Rockets,Seattle SuperSonics,30-12-1996
422,Regular,Cleveland Cavaliers,Minnesota Timberwolves,30-12-1996
423,Regular,Charlotte Hornets,Dallas Mavericks,02-01-1997
424,Regular,Seattle SuperSonics,Philadelphia 76ers,02-01-1997
425,Regular,Cleveland Cavaliers,Phoenix Suns,02-01-1997
426,Regular,Detroit Pistons,Boston Celtics,02-01-1997
427,Regular,Houston Rockets,Portland Trail Blazers,02-01-1997
428,Regular,Miami Heat,New Jersey Nets,02-01-1997
429,Regular,Orlando Magic,Toronto Raptors,02-01-1997
430,Regular,Sacramento Kings,Los Angeles Lakers,02-01-1997
431,Regular,San Antonio Spurs,Utah Jazz,02-01-1997
